Lead Origin,Lead Source,Do Not Email,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,Lead Quality,Lead Profile,City,A free copy of Mastering The Interview,Last Notable Activity,Lead Score,Lead Category
API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,31.95,Cold Lead
Landing Page Submission,Organic Search,No,1,21.0,1113,2.63,Email Opened,India,Operations Management,Unknown,Unemployed,Low in Relevance,Unknown,Mumbai,Yes,Email Opened,97.33,Hot Lead
API,Referral Sites,No,0,4.0,237,4.0,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,1.05,Cold Lead
Landing Page Submission,Google,No,0,2.0,43,2.0,Form Submitted on Website,India,Finance Management,Student of SomeSchool,Unemployed,Unknown,Potential Lead,Mumbai,No,Modified,5.72,Cold Lead
Lead Add Form,Reference,No,1,3.0,43,2.0,Email Opened,Unknown,Media and Advertising,Unknown,Unemployed,Unknown,Potential Lead,Mumbai,No,Modified,69.18,Warm Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,5.95,Cold Lead
Lead Add Form,Google,No,1,0.0,0,0.0,Email Opened,Unknown,Supply Chain Management,Unknown,Unemployed,High in Relevance,Lateral Student,Thane & Outskirts,No,Email Opened,96.64,Hot Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,5.95,Cold Lead
API,Organic Search,No,0,2.0,1366,2.0,Olark Chat Conversation,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,18.41,Cold Lead
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Link Clicked,Unknown,Human Resource Management,Unknown,Unemployed,Low in Relevance,Potential Lead,Mumbai,No,Email Link Clicked,95.86,Hot Lead
API,Organic Search,No,0,3.0,124,3.0,Converted to Lead,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,0.99,Cold Lead
API,Google,No,0,2.0,135,2.0,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,2.59,Cold Lead
Landing Page Submission,Referral Sites,No,1,5.0,1216,2.5,Email Opened,Bahrain,International Business,Unknown,Working Professional,Might be,Unknown,Other Cities,Yes,Email Opened,97.23,Hot Lead
Landing Page Submission,Direct Traffic,No,0,3.0,35,3.0,Email Opened,India,Human Resource Management,Unknown,Unemployed,Unknown,Unknown,Mumbai,Yes,Email Opened,4.55,Cold Lead
API,Olark Chat,No,1,0.0,0,0.0,Unreachable,Unknown,Finance Management,Unknown,Unemployed,Low in Relevance,Potential Lead,Other Cities,No,Unreachable,97.76,Hot Lead
Landing Page Submission,Google,No,0,4.0,157,4.0,Email Opened,India,Operations Management,Online Search,Unknown,Unknown,Unknown,Other Cities of Maharashtra,No,Email Opened,1.42,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unemployed,Not Sure,Other Leads,Unknown,No,Modified,3.05,Cold Lead
API,Referral Sites,No,0,3.0,170,1.5,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,2.32,Cold Lead
API,Organic Search,No,0,4.0,71,4.0,Olark Chat Conversation,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.42,Cold Lead
Landing Page Submission,Organic Search,No,0,5.0,811,5.0,Email Opened,India,Operations Management,Unknown,Unknown,Unknown,Unknown,Mumbai,Yes,Email Opened,29.15,Cold Lead
Lead Add Form,Reference,No,1,3.0,972,2.0,Email Opened,Unknown,Healthcare Management,Unknown,Working Professional,Low in Relevance,Potential Lead,Mumbai,No,Modified,97.46,Hot Lead
API,Referral Sites,No,0,10.0,278,5.0,Page Visited on Website,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Page Visited on Website,1.09,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,5.05,Cold Lead
API,Referral Sites,No,0,5.0,809,5.0,Page Visited on Website,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,7.54,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Olark Chat Conversation,0.9,Cold Lead
Lead Add Form,Reference,No,1,3.0,781,2.0,Email Opened,Unknown,Supply Chain Management,Unknown,Unemployed,Low in Relevance,Potential Lead,Mumbai,No,Modified,97.31,Hot Lead
Landing Page Submission,Google,No,1,4.0,1226,4.0,Email Opened,India,Finance Management,Social Media,Unemployed,Low in Relevance,Potential Lead,Mumbai,No,Email Opened,97.43,Hot Lead
Landing Page Submission,Google,No,0,5.0,1469,2.5,Email Link Clicked,India,Rural and Agribusiness,Online Search,Unknown,Unknown,Unknown,Mumbai,No,Email Link Clicked,33.05,Cold Lead
API,Referral Sites,No,0,5.0,253,1.67,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,5.93,Cold Lead
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,Email Opened,Unknown,Human Resource Management,Unknown,Unemployed,High in Relevance,Lateral Student,Mumbai,No,Modified,98.75,Hot Lead
Landing Page Submission,Organic Search,No,1,4.0,1378,4.0,Had a Phone Conversation,India,Human Resource Management,Unknown,Unemployed,Might be,Unknown,Unknown,No,Modified,84.26,Hot Lead
API,Referral Sites,No,0,10.0,66,10.0,Email Opened,India,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,Modified,1.53,Cold Lead
Landing Page Submission,Google,No,0,4.0,372,4.0,Page Visited on Website,India,Human Resource Management,Other,Unknown,Unknown,Unknown,Mumbai,No,Modified,1.32,Cold Lead
API,Organic Search,No,1,3.0,1636,1.5,Page Visited on Website,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Page Visited on Website,48.43,Cold Lead
API,Google,No,0,2.0,376,2.0,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,2.41,Cold Lead
Landing Page Submission,Google,No,1,1.0,214,1.0,Converted to Lead,India,Supply Chain Management,Online Search,Unemployed,Unknown,Unknown,Other Cities,No,Modified,5.78,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.47,Cold Lead
API,Olark Chat,Yes,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,0.56,Cold Lead
Landing Page Submission,Organic Search,No,0,8.0,93,8.0,Email Opened,India,E-COMMERCE,Unknown,Unknown,Unknown,Unknown,Other Cities,Yes,Email Opened,2.26,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,5.05,Cold Lead
Landing Page Submission,Direct Traffic,No,0,3.0,365,3.0,Email Opened,India,IT Projects Management,Unknown,Unemployed,Unknown,Unknown,Mumbai,Yes,Email Opened,3.5,Cold Lead
Landing Page Submission,Google,No,1,6.0,274,2.0,Email Opened,India,Marketing Management,Word Of Mouth,Unemployed,Might be,Unknown,Mumbai,No,Email Opened,34.96,Cold Lead
API,Referral Sites,No,0,4.0,179,4.0,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,0.98,Cold Lead
Landing Page Submission,Google,No,0,15.0,753,15.0,Unreachable,India,"Banking, Investment And Insurance",Unknown,Unemployed,Might be,Unknown,Mumbai,Yes,Modified,16.96,Cold Lead
Landing Page Submission,Direct Traffic,No,0,3.0,1346,3.0,Email Opened,India,Human Resource Management,Unknown,Unknown,Unknown,Unknown,Other Cities of Maharashtra,Yes,Email Opened,41.08,Cold Lead
API,Google,No,0,7.0,277,3.5,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,2.59,Cold Lead
API,Google,No,0,2.0,90,2.0,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,2.37,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,5.95,Cold Lead
Landing Page Submission,Google,No,1,9.0,1289,2.25,Email Opened,India,IT Projects Management,Unknown,Working Professional,High in Relevance,Potential Lead,Mumbai,Yes,Email Opened,99.43,Hot Lead
API,Referral Sites,No,0,8.0,246,2.67,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,2.66,Cold Lead
Landing Page Submission,Google,No,0,11.0,116,3.67,Page Visited on Website,India,Marketing Management,Student of SomeSchool,Unknown,Unknown,Unknown,Other Cities of Maharashtra,No,Page Visited on Website,3.26,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,5.05,Cold Lead
Landing Page Submission,Google,No,1,5.0,472,5.0,Had a Phone Conversation,India,Marketing Management,Unknown,Unemployed,Might be,Unknown,Mumbai,Yes,Had a Phone Conversation,53.34,Warm Lead
API,Google,No,0,2.0,395,1.0,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,3.28,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Unreachable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unreachable,10.41,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,3.85,Cold Lead
Landing Page Submission,Direct Traffic,Yes,1,4.0,1354,4.0,Unsubscribed,India,Business Administration,Multiple Sources,Unemployed,Might be,Unknown,Mumbai,Yes,Unsubscribed,80.08,Hot Lead
Landing Page Submission,Organic Search,No,1,5.0,1102,5.0,Email Opened,India,Human Resource Management,Online Search,Unemployed,Low in Relevance,Unknown,Mumbai,Yes,Email Opened,91.18,Hot Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,5.95,Cold Lead
API,Google,No,0,2.0,1268,2.0,Email Opened,India,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,Email Opened,15.36,Cold Lead
API,Organic Search,No,1,5.0,1354,2.5,Email Opened,India,Unknown,Unknown,Unemployed,Might be,Unknown,Unknown,No,Modified,86.1,Hot Lead
API,Referral Sites,No,1,3.0,1561,1.5,Had a Phone Conversation,India,Unknown,Unknown,Unemployed,Might be,Unknown,Unknown,No,Modified,93.38,Hot Lead
Landing Page Submission,Google,No,1,10.0,1128,1.43,Email Opened,India,Marketing Management,Word Of Mouth,Unemployed,High in Relevance,Potential Lead,Mumbai,Yes,Email Opened,98.15,Hot Lead
API,Organic Search,No,1,4.0,1341,2.0,Email Opened,India,Unknown,Unknown,Unemployed,Worst,Unknown,Unknown,No,Email Opened,1.22,Cold Lead
Landing Page Submission,Google,No,0,2.0,250,2.0,Form Submitted on Website,India,Marketing Management,Online Search,Unknown,Unknown,Unknown,Thane & Outskirts,No,Modified,1.74,Cold Lead
API,Organic Search,No,0,2.0,250,2.0,Email Opened,India,Unknown,Unknown,Unemployed,Might be,Unknown,Unknown,No,Email Opened,31.81,Cold Lead
API,Organic Search,No,0,2.0,248,2.0,Email Opened,Ghana,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,3.92,Cold Lead
Landing Page Submission,Direct Traffic,Yes,0,2.0,402,2.0,Unsubscribed,United States,Media and Advertising,Unknown,Unemployed,Not Sure,Unknown,Other Metro Cities,No,Unsubscribed,1.26,Cold Lead
API,Referral Sites,No,0,1.0,235,1.0,Converted to Lead,India,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,Modified,1.96,Cold Lead
API,Organic Search,No,0,6.0,125,3.0,Email Opened,India,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,Email Opened,2.86,Cold Lead
API,Organic Search,No,0,2.0,236,2.0,Converted to Lead,India,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,Modified,2.45,Cold Lead
API,Referral Sites,No,0,9.0,110,9.0,Email Opened,India,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,Email Opened,1.59,Cold Lead
API,Organic Search,Yes,0,7.0,265,3.5,Email Bounced,India,Unknown,Unknown,Unemployed,Might be,Unknown,Unknown,No,Email Bounced,7.6,Cold Lead
Landing Page Submission,Google,No,0,7.0,109,7.0,Email Opened,India,Marketing Management,Other,Unemployed,Might be,Unknown,Mumbai,No,Email Opened,30.98,Cold Lead
Landing Page Submission,Google,No,0,3.0,98,3.0,Email Opened,India,"Banking, Investment And Insurance",Word Of Mouth,Unemployed,Unknown,Unknown,Mumbai,No,Modified,5.39,Cold Lead
Landing Page Submission,Referral Sites,No,0,7.0,315,3.5,Email Opened,Singapore,Operations Management,Unknown,Unknown,Unknown,Unknown,Other Metro Cities,Yes,Email Opened,3.6,Cold Lead
API,Google,No,0,2.0,339,2.0,Unreachable,India,Media and Advertising,Word Of Mouth,Unemployed,Not Sure,Unknown,Mumbai,No,Modified,2.66,Cold Lead
Landing Page Submission,Direct Traffic,No,0,3.0,211,3.0,Email Opened,India,Marketing Management,Unknown,Unemployed,Not Sure,Unknown,Mumbai,Yes,Email Opened,2.16,Cold Lead
Landing Page Submission,Direct Traffic,No,1,2.0,703,2.0,Email Opened,India,Finance Management,Unknown,Unemployed,Might be,Unknown,Mumbai,Yes,Email Opened,59.84,Warm Lead
Landing Page Submission,Organic Search,No,0,13.0,408,6.5,Email Opened,India,Hospitality Management,Unknown,Unemployed,Unknown,Unknown,Mumbai,Yes,Email Opened,2.72,Cold Lead
API,Referral Sites,No,0,11.0,366,3.67,Email Opened,India,Unknown,Unknown,Unemployed,Low in Relevance,Potential Lead,Thane & Outskirts,No,Modified,6.96,Cold Lead
Landing Page Submission,Organic Search,Yes,0,5.0,106,5.0,Unreachable,United Kingdom,Travel and Tourism,Unknown,Unemployed,Not Sure,Unknown,Mumbai,No,Modified,0.25,Cold Lead
Landing Page Submission,Google,No,1,2.0,1099,2.0,SMS Sent,India,Unknown,Student of SomeSchool,Unemployed,Might be,Unknown,Mumbai,No,Modified,71.81,Warm Lead
API,Organic Search,No,0,11.0,306,11.0,Page Visited on Website,India,Services Excellence,Unknown,Unknown,Unknown,Unknown,Thane & Outskirts,Yes,Modified,2.0,Cold Lead
API,Google,No,0,9.0,290,3.0,Page Visited on Website,India,Operations Management,Unknown,Unknown,Unknown,Unknown,Thane & Outskirts,Yes,Page Visited on Website,2.15,Cold Lead
API,Organic Search,No,0,11.0,220,11.0,Page Visited on Website,India,Operations Management,Unknown,Unemployed,Might be,Unknown,Thane & Outskirts,Yes,Modified,11.66,Cold Lead
Landing Page Submission,Google,No,1,8.0,235,8.0,Email Opened,India,Marketing Management,Other,Unemployed,Low in Relevance,Potential Lead,Mumbai,No,Modified,64.34,Warm Lead
Landing Page Submission,Direct Traffic,No,0,6.0,25,3.0,Email Opened,India,Operations Management,Unknown,Unknown,Unknown,Unknown,Other Cities,Yes,Email Opened,0.94,Cold Lead
API,Organic Search,No,0,7.0,463,3.5,Unreachable,India,Unknown,Unknown,Unemployed,Might be,Unknown,Unknown,No,Modified,5.67,Cold Lead
Landing Page Submission,Direct Traffic,No,0,2.0,398,2.0,Email Opened,Qatar,Human Resource Management,Unknown,Unemployed,Not Sure,Unknown,Other Cities,Yes,Email Opened,3.07,Cold Lead
API,Organic Search,No,0,3.0,623,3.0,Email Opened,India,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,Email Opened,10.0,Cold Lead
Landing Page Submission,Google,No,0,4.0,281,4.0,Email Opened,India,Marketing Management,Word Of Mouth,Unemployed,Might be,Unknown,Mumbai,No,Email Opened,23.19,Cold Lead
Landing Page Submission,Direct Traffic,No,0,3.0,46,3.0,Email Link Clicked,India,Finance Management,Unknown,Unemployed,Not Sure,Unknown,Mumbai,Yes,Email Link Clicked,3.99,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unemployed,Worst,Potential Lead,Unknown,No,Modified,0.15,Cold Lead
Landing Page Submission,Google,No,1,9.0,1468,9.0,Page Visited on Website,India,E-Business,Online Search,Unemployed,Low in Relevance,Potential Lead,Mumbai,No,Modified,94.16,Hot Lead
Landing Page Submission,Organic Search,Yes,0,5.0,615,2.5,Email Bounced,India,Rural and Agribusiness,Unknown,Unemployed,Not Sure,Unknown,Other Cities,Yes,Email Bounced,6.59,Cold Lead
API,Google,No,0,6.0,424,3.0,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,6.26,Cold Lead
Landing Page Submission,Google,No,0,4.0,3,4.0,Email Opened,India,Supply Chain Management,Advertisements,Unknown,Unknown,Unknown,Other Cities of Maharashtra,No,Email Opened,1.36,Cold Lead
API,Referral Sites,No,0,3.0,64,3.0,Email Opened,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,2.92,Cold Lead
Landing Page Submission,Direct Traffic,No,1,2.0,107,2.0,Email Opened,India,E-Business,Online Search,Unemployed,Might be,Potential Lead,Other Cities,No,Email Opened,79.28,Warm Lead
API,Referral Sites,No,0,3.0,150,1.5,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,2.42,Cold Lead
Landing Page Submission,Google,No,0,5.0,663,5.0,Unreachable,Australia,Operations Management,Word Of Mouth,Unemployed,Might be,Unknown,Mumbai,No,Modified,12.59,Cold Lead
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Unknown,"Banking, Investment And Insurance",Unknown,Working Professional,Might be,Potential Lead,Unknown,No,Modified,97.83,Hot Lead
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,96.62,Hot Lead
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Unknown,Operations Management,Unknown,Working Professional,High in Relevance,Potential Lead,Unknown,No,Email Opened,99.09,Hot Lead
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Olark Chat Conversation,98.34,Hot Lead
API,Organic Search,No,0,3.0,185,3.0,Converted to Lead,India,Marketing Management,Unknown,Unemployed,Might be,Other Leads,Unknown,No,Modified,15.49,Cold Lead
Landing Page Submission,Direct Traffic,No,0,8.0,321,4.0,Email Opened,India,Business Administration,Unknown,Unemployed,Unknown,Unknown,Mumbai,Yes,Email Opened,11.66,Cold Lead
Landing Page Submission,Google,No,1,4.0,1357,4.0,SMS Sent,India,IT Projects Management,Online Search,Unemployed,Might be,Unknown,Thane & Outskirts,No,Modified,86.95,Hot Lead
Landing Page Submission,Direct Traffic,No,0,4.0,1447,4.0,SMS Sent,India,Operations Management,Unknown,Unknown,Unknown,Unknown,Other Metro Cities,Yes,Modified,30.7,Cold Lead
Lead Add Form,Reference,No,1,1.0,990,1.0,Page Visited on Website,Unknown,Marketing Management,Unknown,Student,Low in Relevance,Potential Lead,Mumbai,No,Page Visited on Website,98.87,Hot Lead
API,Google,No,0,2.0,44,2.0,Page Visited on Website,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Page Visited on Website,1.15,Cold Lead
API,Referral Sites,No,0,2.0,56,2.0,Olark Chat Conversation,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,0.98,Cold Lead
Landing Page Submission,Google,No,0,3.0,1412,3.0,SMS Sent,India,Finance Management,Advertisements,Unemployed,Not Sure,Unknown,Mumbai,No,Modified,44.71,Cold Lead
API,Google,No,0,2.0,374,1.0,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,2.15,Cold Lead
Landing Page Submission,Google,No,1,4.0,746,4.0,Email Opened,India,Human Resource Management,Student of SomeSchool,Working Professional,Low in Relevance,Lateral Student,Mumbai,No,Email Opened,96.9,Hot Lead
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,96.62,Hot Lead
API,Google,No,0,2.0,175,2.0,Page Visited on Website,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Page Visited on Website,1.53,Cold Lead
Landing Page Submission,Direct Traffic,No,0,4.0,365,2.0,Email Opened,India,Finance Management,Unknown,Unknown,Unknown,Unknown,Thane & Outskirts,Yes,Email Opened,2.4,Cold Lead
API,Google,No,0,2.0,102,2.0,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,2.37,Cold Lead
API,Referral Sites,No,0,4.0,248,2.0,Olark Chat Conversation,United States,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.77,Cold Lead
Landing Page Submission,Google,No,0,6.0,351,6.0,Email Opened,India,E-COMMERCE,Online Search,Unknown,Unknown,Unknown,Other Cities of Maharashtra,Yes,Modified,9.78,Cold Lead
Landing Page Submission,Google,No,1,3.0,267,3.0,SMS Sent,India,Finance Management,Word Of Mouth,Unemployed,Might be,Unknown,Thane & Outskirts,No,Modified,42.02,Cold Lead
Landing Page Submission,Google,No,0,7.0,238,1.75,Form Submitted on Website,India,Finance Management,Online Search,Unknown,Unknown,Unknown,Mumbai,No,Modified,1.81,Cold Lead
API,Google,No,0,2.0,170,1.0,Olark Chat Conversation,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.36,Cold Lead
Landing Page Submission,Organic Search,No,0,22.0,59,5.5,Page Visited on Website,India,Human Resource Management,Unknown,Unemployed,Unknown,Unknown,Mumbai,Yes,Page Visited on Website,3.49,Cold Lead
Lead Add Form,Reference,No,1,3.0,205,2.0,Email Opened,Unknown,Finance Management,Unknown,Working Professional,High in Relevance,Lateral Student,Unknown,No,Modified,94.14,Hot Lead
Landing Page Submission,Direct Traffic,No,0,7.0,150,7.0,Email Link Clicked,India,E-COMMERCE,Unknown,Unknown,Unknown,Unknown,Mumbai,Yes,Email Link Clicked,3.41,Cold Lead
Landing Page Submission,Organic Search,No,1,5.0,1250,5.0,Email Opened,India,E-COMMERCE,Unknown,Working Professional,Might be,Unknown,Other Cities,Yes,Email Opened,97.22,Hot Lead
Landing Page Submission,Organic Search,No,0,5.0,255,2.5,SMS Sent,India,Human Resource Management,Unknown,Unknown,Unknown,Unknown,Mumbai,Yes,Modified,6.82,Cold Lead
API,Referral Sites,No,0,1.0,153,1.0,Converted to Lead,United Kingdom,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,0.91,Cold Lead
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Unknown,E-Business,Unknown,Unemployed,High in Relevance,Potential Lead,Thane & Outskirts,No,Email Opened,96.66,Hot Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Olark Chat Conversation,0.9,Cold Lead
Landing Page Submission,Google,No,0,3.0,217,3.0,SMS Sent,India,Supply Chain Management,Other,Unknown,Unknown,Unknown,Thane & Outskirts,No,Modified,4.38,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.47,Cold Lead
Landing Page Submission,Direct Traffic,No,0,2.0,2,2.0,Form Submitted on Website,India,Healthcare Management,Word Of Mouth,Unemployed,Low in Relevance,Unknown,Mumbai,Yes,Modified,8.71,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,5.05,Cold Lead
API,Referral Sites,No,0,3.0,345,1.5,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,2.71,Cold Lead
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Unknown,Human Resource Management,Unknown,Unemployed,Low in Relevance,Potential Lead,Thane & Outskirts,No,Modified,86.62,Hot Lead
Landing Page Submission,Direct Traffic,Yes,0,2.0,183,2.0,SMS Sent,Ghana,Human Resource Management,Unknown,Unemployed,Not Sure,Unknown,Other Cities,Yes,Modified,1.22,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unemployed,Worst,Unknown,Unknown,No,Modified,0.18,Cold Lead
Landing Page Submission,Google,No,0,9.0,181,3.0,Page Visited on Website,India,Finance Management,Online Search,Unemployed,Unknown,Unknown,Mumbai,No,Page Visited on Website,2.98,Cold Lead
API,Organic Search,No,0,3.0,677,1.5,Email Opened,India,Unknown,Unknown,Student,Not Sure,Student of SomeSchool,Unknown,No,Modified,16.48,Cold Lead
API,Google,No,0,2.0,134,2.0,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,2.59,Cold Lead
Landing Page Submission,Direct Traffic,No,0,4.0,432,4.0,SMS Sent,India,Media and Advertising,Unknown,Unknown,Unknown,Unknown,Other Cities of Maharashtra,Yes,Modified,8.37,Cold Lead
API,Olark Chat,No,1,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unemployed,Might be,Other Leads,Unknown,No,Modified,32.07,Cold Lead
API,Referral Sites,No,0,4.0,396,2.0,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,1.99,Cold Lead
Landing Page Submission,Google,No,0,4.0,163,4.0,Olark Chat Conversation,India,E-Business,Other,Unknown,Unknown,Unknown,Mumbai,No,Modified,0.84,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Link Clicked,Unknown,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,Email Link Clicked,4.36,Cold Lead
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Unknown,Finance Management,Unknown,Unemployed,Low in Relevance,Potential Lead,Mumbai,No,Email Opened,96.37,Hot Lead
Landing Page Submission,Direct Traffic,No,1,5.0,1491,2.5,Email Opened,India,Marketing Management,Unknown,Working Professional,High in Relevance,Dual Specialization Student,Other Cities of Maharashtra,Yes,Email Opened,98.81,Hot Lead
Landing Page Submission,Direct Traffic,No,0,2.0,13,2.0,Email Opened,India,"Banking, Investment And Insurance",Unknown,Unknown,Unknown,Unknown,Mumbai,Yes,Email Opened,1.17,Cold Lead
API,Referral Sites,No,0,5.0,133,5.0,Olark Chat Conversation,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,0.63,Cold Lead
Landing Page Submission,Google,No,0,4.0,825,4.0,Email Opened,India,Operations Management,Student of SomeSchool,Unemployed,Not Sure,Unknown,Mumbai,No,Email Opened,35.18,Cold Lead
Landing Page Submission,Direct Traffic,No,0,4.0,217,4.0,Email Opened,India,Finance Management,Unknown,Unknown,Unknown,Unknown,Other Cities,Yes,Email Opened,2.48,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,Worst,Other Leads,Unknown,No,Modified,0.17,Cold Lead
